,user,hour,labels,weekday,day_type,charging_type,bluetooth,wifi,charging_status,clusters,daytime,prev_cluster,next_cluster
0,user_11,13,5,0,WD,1,1,2,1,1,3,-1,1
1,user_11,21,5,4,WD,1,1,2,1,1,5,1,7
2,user_11,14,6,2,WD,1,1,1,1,7,3,1,7
3,user_11,16,6,5,WD,1,1,2,1,7,4,7,1
4,user_11,10,7,0,WD,1,1,2,1,1,2,7,1
5,user_11,17,8,4,WD,1,3,1,1,1,4,1,5
6,user_11,15,9,2,WD,1,1,1,1,5,3,1,5
7,user_11,18,9,4,WD,1,3,1,1,5,4,5,7
8,user_11,13,11,4,WD,1,1,1,1,7,3,5,7
9,user_11,14,11,4,WD,1,1,1,1,7,3,7,1
10,user_13,11,19,0,WD,1,1,2,1,1,2,7,1
11,user_13,13,19,5,WD,1,4,1,1,1,3,1,7
12,user_13,22,20,4,WD,1,5,1,1,7,5,1,7
13,user_13,20,20,4,WD,1,4,1,1,7,5,7,1
14,user_13,22,21,4,WD,1,5,1,1,1,5,7,1
15,user_13,20,21,4,WD,1,4,1,1,1,5,1,2
16,user_13,22,22,4,WD,1,5,1,1,2,5,1,2
17,user_13,15,22,4,WD,1,4,1,1,2,3,2,5
18,user_13,22,23,4,WD,1,5,1,1,5,5,2,5
19,user_13,20,23,4,WD,1,4,1,1,5,5,5,4
20,user_13,13,24,5,WD,1,5,1,1,4,3,5,4
21,user_13,20,24,3,WD,2,4,1,2,4,5,4,2
22,user_13,14,25,5,WD,1,5,1,1,2,3,4,2
23,user_13,15,25,5,WD,1,5,1,1,2,3,2,5
24,user_13,15,26,5,WD,1,4,1,1,5,3,2,5
25,user_13,13,42,5,WD,1,4,1,1,5,3,5,1
26,user_13,19,28,6,WE,1,4,1,1,1,4,5,1
27,user_13,16,28,3,WD,1,5,1,1,1,4,1,2
28,user_13,19,29,6,WE,1,4,1,1,2,4,1,2
29,user_13,16,29,3,WD,1,5,1,1,2,4,2,4
30,user_13,20,30,6,WE,1,4,1,1,4,5,2,4
31,user_13,16,30,3,WD,1,5,1,1,4,4,4,5
32,user_13,21,31,6,WE,1,4,1,1,5,5,4,5
33,user_13,21,32,6,WE,2,4,1,2,5,5,5,7
34,user_13,20,34,3,WD,1,5,1,1,7,5,5,7
35,user_13,20,34,5,WD,1,5,1,1,7,5,7,1
36,user_13,21,35,3,WD,1,5,1,1,1,5,7,1
37,user_13,21,35,4,WD,1,4,1,1,1,5,1,2
38,user_13,19,36,5,WD,1,4,1,1,2,4,1,2
39,user_13,14,37,6,WE,1,4,1,1,2,3,2,5
40,user_13,20,38,6,WE,1,4,1,1,5,5,2,5
41,user_13,23,39,6,WE,1,4,1,1,5,5,5,7
42,user_13,17,40,0,WD,1,4,1,1,7,4,5,7
43,user_13,18,40,0,WD,1,4,1,1,7,4,7,5
44,user_13,21,43,6,WE,1,5,1,1,5,5,7,5
45,user_13,21,43,2,WD,1,5,1,1,5,5,5,4
46,user_13,21,44,6,WE,1,5,1,1,4,5,5,4
47,user_13,20,44,3,WD,2,4,1,2,4,5,4,7
48,user_13,20,45,0,WD,1,5,1,1,7,5,4,7
49,user_13,23,45,0,WD,1,5,1,1,7,5,7,2
50,user_13,0,46,4,WD,1,4,1,1,2,6,7,2
51,user_13,22,46,5,WD,1,4,1,1,2,5,2,5
52,user_13,16,47,5,WD,1,4,1,1,5,4,2,5
53,user_13,20,50,3,WD,2,4,1,2,5,5,5,6
54,user_13,13,52,5,WD,1,4,1,1,6,3,5,6
55,user_13,0,55,6,WE,1,3,1,1,6,6,6,1
56,user_13,0,56,6,WE,1,3,1,1,1,6,6,1
57,user_13,21,59,6,WE,1,1,2,1,1,5,1,3
58,user_13,15,60,0,WD,1,4,1,1,3,3,1,3
59,user_13,19,60,3,WD,1,1,1,1,3,4,3,2
60,user_13,19,61,4,WD,1,3,1,1,2,4,3,2
61,user_13,21,61,4,WD,1,3,1,1,2,5,2,5
62,user_13,15,62,6,WE,1,4,1,1,5,3,2,5
63,user_13,18,62,6,WE,1,4,1,1,5,4,5,3
64,user_14,16,63,2,WD,1,4,2,1,3,4,5,3
65,user_14,14,65,4,WD,1,3,1,1,3,3,3,7
66,user_14,20,66,4,WD,1,4,2,1,7,5,3,7
67,user_14,21,66,4,WD,1,4,1,1,7,5,7,4
68,user_14,15,67,6,WE,1,4,1,1,4,3,7,4
69,user_14,21,67,4,WD,1,3,2,1,4,5,4,5
70,user_14,15,68,6,WE,1,4,1,1,5,3,4,5
71,user_14,20,68,4,WD,1,3,1,1,5,5,5,7
72,user_14,15,69,6,WE,1,4,1,1,7,3,5,7
73,user_14,16,69,6,WE,1,4,1,1,7,4,7,1
74,user_14,16,70,6,WE,1,4,1,1,1,4,7,1
75,user_14,20,70,4,WD,1,3,1,1,1,5,1,7
76,user_14,18,71,1,WD,1,4,1,1,7,4,1,7
77,user_14,20,73,4,WD,1,3,1,1,7,5,7,2
78,user_14,12,74,5,WD,1,3,1,1,2,3,7,2
79,user_14,12,74,5,WD,1,3,1,1,2,3,2,3
80,user_14,15,75,5,WD,1,3,1,1,3,3,2,3
81,user_14,19,75,3,WD,1,3,1,1,3,4,3,1
82,user_14,16,76,5,WD,1,3,1,1,1,4,3,1
83,user_14,22,76,2,WD,1,1,2,1,1,5,1,3
84,user_14,7,77,3,WD,1,3,1,1,3,1,1,3
85,user_14,19,77,3,WD,1,3,1,1,3,4,3,5
86,user_14,15,79,0,WD,1,3,1,1,5,3,3,5
87,user_14,18,79,0,WD,1,3,1,1,5,4,5,1
88,user_14,0,80,5,WD,1,4,1,1,1,6,5,1
89,user_18,9,113,0,WD,1,3,1,1,1,2,1,3
90,user_18,17,114,2,WD,1,3,1,1,3,4,1,3
91,user_18,12,114,0,WD,1,3,1,1,3,3,3,2
92,user_18,10,115,3,WD,1,3,1,1,2,2,3,2
93,user_18,11,115,3,WD,1,3,1,1,2,2,2,1
94,user_18,13,116,4,WD,1,3,1,1,1,3,2,1
95,user_18,18,116,4,WD,1,4,1,1,1,4,1,5
96,user_18,15,117,4,WD,1,4,1,1,5,3,1,5
97,user_18,18,117,4,WD,1,4,1,1,5,4,5,6
98,user_18,15,118,1,WD,1,1,1,1,6,3,5,6
99,user_18,19,120,1,WD,1,3,1,1,6,4,6,5
100,user_18,20,121,1,WD,1,3,1,1,5,5,6,5
101,user_18,18,121,4,WD,2,3,2,2,5,4,5,2
102,user_18,20,123,1,WD,1,3,1,1,2,5,5,2
103,user_18,14,123,4,WD,1,3,1,1,2,3,2,5
104,user_18,9,122,2,WD,1,3,1,1,5,2,2,5
105,user_18,14,124,4,WD,1,3,1,1,5,3,5,3
106,user_21,14,135,1,WD,2,4,2,2,3,3,5,3
107,user_21,21,135,0,WD,1,4,2,1,3,5,3,1
108,user_21,23,136,1,WD,1,4,1,1,1,5,3,1
109,user_21,1,136,1,WD,2,4,2,2,1,6,1,3
110,user_21,11,137,2,WD,1,4,2,1,3,2,1,3
111,user_21,12,138,2,WD,1,4,1,1,3,3,3,1
112,user_21,15,140,5,WD,1,4,1,1,1,3,3,1
113,user_21,13,142,1,WD,1,4,1,1,1,3,1,2
114,user_21,9,144,1,WD,1,4,2,1,2,2,1,2
115,user_21,11,144,1,WD,1,4,1,1,2,2,2,1
116,user_23,17,146,0,WD,1,1,2,1,1,4,2,1
117,user_23,21,146,0,WD,1,5,2,1,1,5,1,5
118,user_23,19,147,0,WD,1,1,1,1,5,4,1,5
119,user_23,11,147,6,WE,1,1,1,1,5,2,5,1
120,user_23,19,148,0,WD,1,1,1,1,1,4,5,1
121,user_23,10,148,6,WE,1,1,1,1,1,2,1,5
122,user_23,19,149,0,WD,1,1,1,1,5,4,1,5
123,user_23,11,154,6,WE,1,1,1,1,5,2,5,7
124,user_23,11,155,5,WD,1,1,1,1,7,2,5,7
125,user_23,12,155,5,WD,1,1,1,1,7,3,7,1
126,user_23,12,156,5,WD,1,1,1,1,1,3,7,1
127,user_23,14,157,5,WD,1,1,1,1,1,3,1,3
128,user_5,14,163,1,WD,1,4,2,1,3,3,1,3
129,user_5,19,164,4,WD,1,5,1,1,3,4,3,7
130,user_5,19,165,3,WD,1,4,1,1,7,4,3,7
131,user_5,20,165,3,WD,1,4,1,1,7,5,7,3
132,user_5,11,166,4,WD,1,5,2,1,3,2,7,3
133,user_5,12,167,4,WD,1,5,1,1,3,3,3,1
134,user_5,20,168,4,WD,1,5,1,1,1,5,3,1
135,user_5,20,168,4,WD,1,5,1,1,1,5,1,3
136,user_8,16,181,0,WD,1,4,2,1,3,4,1,3
137,user_8,14,181,2,WD,1,3,1,1,3,3,3,1
138,user_8,19,182,0,WD,1,3,1,1,1,4,3,1
139,user_8,13,183,2,WD,1,4,1,1,1,3,1,7
140,user_8,19,184,0,WD,1,3,1,1,7,4,1,7
141,user_8,13,184,2,WD,1,4,1,1,7,3,7,3
142,user_8,14,185,2,WD,1,3,1,1,3,3,7,3
143,user_8,15,185,2,WD,1,4,1,1,3,3,3,1
144,user_9,21,186,0,WD,1,4,2,1,1,5,3,1
145,user_9,20,186,4,WD,1,4,2,1,1,5,1,4
146,user_9,11,187,5,WD,1,4,1,1,4,2,1,4
147,user_9,17,188,5,WD,1,3,1,1,4,4,4,2
148,user_9,17,189,5,WD,1,3,1,1,2,4,4,2
149,user_9,18,189,5,WD,1,3,1,1,2,4,2,7
150,user_9,18,190,5,WD,1,3,1,1,7,4,2,7
151,user_9,20,190,5,WD,1,3,1,1,7,5,7,-1
