,user,weekday,H,RT,U,O,RC,A,S
0,user_11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,user_11,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,user_11,2,0.7538829151732378,0.0,0.0,0.0,0.23536439665471923,0.0,0.010752688172043012
3,user_11,3,0.7970627503337784,0.0,0.0,0.0,0.20160213618157544,0.0,0.0013351134846461949
4,user_11,4,0.6739130434782609,0.0,0.0,0.0,0.23395445134575568,0.0,0.09213250517598344
5,user_11,5,0.9791356184798807,0.0,0.0,0.0,0.0,0.0,0.020864381520119227
6,user_11,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,user_13,0,0.9315683194974198,0.0006730984967466906,0.018622391743325105,0.0013461969934933811,0.0,0.0,0.047789993269015035
8,user_13,1,0.9686429512516469,0.002898550724637681,0.0,0.007641633728590251,0.005797101449275362,0.0,0.015019762845849802
9,user_13,2,0.9903500897666068,0.0,0.0,0.0006732495511669659,0.008976660682226212,0.0,0.0
10,user_13,3,0.8164228409627182,0.0035394053798961773,0.12340726757904671,0.0025955639452571967,0.04766399244926852,0.0,0.006370929683813119
11,user_13,4,0.925152749490835,0.025203665987780042,0.023930753564154784,0.0007637474541751527,0.020112016293279023,0.0,0.004837067209775967
12,user_13,5,0.7535511363636364,0.030776515151515152,0.0,0.010890151515151516,0.10771780303030302,0.09209280303030302,0.004971590909090909
13,user_13,6,0.82421875,0.025520833333333333,0.0140625,0.007552083333333333,0.12161458333333333,0.00703125,0.0
14,user_14,0,0.3445692883895131,0.0,0.632334581772784,0.0,0.023096129837702872,0.0,0.0
15,user_14,1,0.3286316175123649,0.0,0.6559809488917384,0.001099102399706906,0.0018318373328448433,0.0,0.012456493863344935
16,user_14,2,0.30484472049689443,0.0,0.6951552795031056,0.0,0.0,0.0,0.0
17,user_14,3,0.3516003879728419,0.0,0.6483996120271581,0.0,0.0,0.0,0.0
18,user_14,4,0.3330936975796789,0.0,0.6319194823867721,0.0011981787682722263,0.0023963575365444525,0.0,0.031392283728732324
19,user_14,5,0.39886039886039887,0.003917378917378918,0.5972222222222222,0.0,0.0,0.0,0.0
20,user_14,6,0.24346359291537814,0.0,0.7306719145347202,0.001967950520101209,0.009839752600506044,0.0,0.014056789429294348
21,user_18,0,0.772189349112426,0.0,0.22781065088757396,0.0,0.0,0.0,0.0
22,user_18,1,0.45680345572354214,0.0021598272138228943,0.0,0.0,0.2451403887688985,0.2958963282937365,0.0
23,user_18,2,0.4118158123370982,0.0017376194613379669,0.04952215464813206,0.0,0.5369244135534318,0.0,0.0
24,user_18,3,0.1355487538259729,0.04984696108439003,0.23043288150415392,0.0,0.5841714035854831,0.0,0.0
25,user_18,4,0.44961977186311786,0.0019011406844106464,0.034220532319391636,0.0,0.5142585551330798,0.0,0.0
26,user_18,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,user_18,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,user_21,0,0.5216572504708098,0.0,0.4783427495291902,0.0,0.0,0.0,0.0
29,user_21,1,0.47774750227066304,0.08083560399636694,0.44141689373297005,0.0,0.0,0.0,0.0
30,user_21,2,0.6905594405594405,0.0,0.3094405594405594,0.0,0.0,0.0,0.0
31,user_21,3,0.6626865671641791,0.0,0.3373134328358209,0.0,0.0,0.0,0.0
32,user_21,4,0.8997555012224939,0.0,0.10024449877750612,0.0,0.0,0.0,0.0
33,user_21,5,0.46446700507614214,0.0,0.5355329949238579,0.0,0.0,0.0,0.0
34,user_21,6,0.956687898089172,0.0,0.04331210191082802,0.0,0.0,0.0,0.0
35,user_23,0,0.8193548387096774,0.0,0.0,0.0,0.18064516129032257,0.0,0.0
36,user_23,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,user_23,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,user_23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,user_23,4,0.7840236686390533,0.0,0.0,0.0,0.21597633136094674,0.0,0.0
40,user_23,5,0.7118093174431203,0.0,0.0,0.0,0.24593716143011918,0.0,0.04225352112676056
41,user_23,6,0.9826224328593997,0.0,0.0,0.0,0.017377567140600316,0.0,0.0
42,user_5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,user_5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,user_5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,user_5,3,0.0,0.0,0.925035360678925,0.0,0.0,0.0,0.07496463932107496
46,user_5,4,0.007670850767085077,0.0,0.9923291492329149,0.0,0.0,0.0,0.0
47,user_5,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,user_5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,user_8,0,0.0076726342710997444,0.0,0.4117647058823529,0.0,0.0,0.0,0.5805626598465473
50,user_8,1,0.020855057351407715,0.0,0.5443169968717414,0.0,0.0,0.0,0.4348279457768509
51,user_8,2,0.034926470588235295,0.0,0.3915441176470588,0.0,0.0,0.0,0.5735294117647058
52,user_8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,user_8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,user_8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,user_8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,user_9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,user_9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,user_9,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,user_9,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,user_9,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,user_9,5,0.5582137161084529,0.030303030303030304,0.0,0.3157894736842105,0.0,0.0,0.09569377990430622
62,user_9,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
